captainName,rank,nationality,company,Image
C. Overbeek,,Dutch,VOC,
William Carthew,Captain,British,RN,
George Teer,Captain,British,RN,
H.P.N. t Hooft,LtZ,Dutch,ADM,
Henry Leigh,Captain,British,EIC,
MANUEL DE VICTORIA,ALF_REZ DE FRAGATA,Spanish,,
Francis William Drake,Author,British,RN,
Thomas Debuke,Captain,British,EIC,
F.C. Cars,Kapitein,Dutch,,
ANTONIO DE MONTES,CAPITAN,Spanish,,
FCO. SANTISTEBAN,CAPITAN,Spanish,,
J. P. Woutersz,Kltz,Dutch,MAR,
W.H. van Voss,Kapitein,Dutch,,
Cornelis van der Stam,Captijn Luitenant ter Zee,Dutch,VOC,
F. van Rossem,Kapitein,Dutch,,
William Maxwell,Captain,British,EIC,
Robert Faulkner,Captain,British,RN,
A.D. Voigt,LtZ 1e Klas,Dutch,MAR,
Joseph Dudman ,Captain,British,EIC,
Peter Rainier,Captain,British,RN,
von Romer,KLtZ,Dutch,MAR,
Francis Grant Gordon,Captain,British,RN,
E. Lucas,Kapitein,Dutch,MAR,
Cayetano Ant_nez,Capitan,Spanish,,
F.C. Zwaanshals,KLtz,Dutch,ADM,
John Gardner,Captain,British,RN,
Constantine John Phipps,Captain,British,RN,
Van der Plaat,Kapitein ter Zee,Dutch,Marine,
,,British,Hudson Bay Company,
James Feathas,Captain,British,RN,
I.A. Houtman,Kapitein,Dutch,MAR,
C.P. Kuiper,Kapitein,Dutch,ADM,
G Malloy,Captain,British,RN,
I. Hensing,Kapitein,Dutch,MER,
William Philipps,Captain,British,RN,
JOS_ FERMN PAVA,CAPITAN,Spanish,,
Roger Curtis,Captain,British,RN,
John Lloyd,Captain,British,RN,
Jos de Santelices,Capitan,Spanish,,
MARQU_S DE CASA TILLY,CAPITAN,Spanish,,
N.L. Koops,KLtZ,Dutch,ADM,
G. Bort,Kapitein,Dutch,ADM,
John Holwell,Captain,British,RN,
James Stevenson,Captain,British,RN,
U Baarends,schipheer,Dutch,VOC Z,
J.A. Scott,Kapitein,Dutch,,
John Stanhope,Captain,British,RN,
PABLO LASAA,CAPITAN,Spanish,,
S.J. Rijsen,LtZ,Dutch,MAR,
James Williams,Captain,British,RN,
Verduin de la Crenne,Luitenant,French,,
JUAN DE MENDOZA,CAPITAN,Spanish,,
A. W. de Man,,Dutch,ADM,
James Halliburton,Captain,British,EIC,
John Brooks,Captain,British,RN,
P. Pieterzen,Ktz,Dutch,MAR,
Robert Parker,Captain,British,RN,
John Leary,Captain,British,RN,
Philip Affleck,Captain,British,RN,assets/img/Philip_Affleck.jpg
Van Rijn,Luitenant ter Zee,Dutch,Marine,
Masterson,Captain,British,RN,
Van der Tak,Kapitein,Dutch,,
Ignacio Prez,Capitan,Spanish,,
Arent Dahmes,LtZ,Dutch,VOC,
MARQU_S DEL SOCORRO,CAPITAN,Spanish,,
H. Rijsterborgh,Ltz,Dutch,Adm,
A.H. Huyman,,Dutch,,
Adriaen Jongekoe,Opperstuurman,Dutch,VOC,
JUAN RODRGUEZ DE VALCRCEL,CAPITAN,Spanish,,
FELIPE GONZLEZ,CAPITAN,Spanish,,
Duntjer,Kapitein,Dutch,,
A.A. Bolken,LtZ 1e klasse,Dutch,MAR,
Thomas Frognall,Captain,British,EIC,
Anemaet,Luitenant ter Zee,Dutch,MAR,
Thomas Wakefield,Captain,British,EIC,
Puttney Malcolm,Captain,British,RN,assets/img/Pulteney_Malcolm.jpg
John Doling,Captain,British,RN,
William Durban,Captain,British,RN,
C. de Cerf,KLtZ,Dutch,MAR,
James Hawker,Captain,British,RN,
G. Mulder,Kapitein,Dutch,,
Cornelis van de Putte,Kapitein,Dutch,VOC,
PEDRO LEYVA,CAPITAN,Spanish,,
M. Macarty,Cdt,French,,
"J,F. van Capelle",Kapitein,Dutch,ADM,
Thomas McTaggort,Captain,British,EIC,
ANTONIO OSORNO,CAPITAN,Spanish,,
John Falkingham,Captain,British,RN,
H. Rijsterborgh,Ltz,Dutch,ADM,
J. Malck,Kapitein,Dutch,VOC,
Koopman,Luitenant ter Zee,Dutch,MAR,
Issac George Manley,Captain,British,RN,
Edward Gascoigne,Captain,British,RN,
Edward Thompson,Captain,British,RN,
A.A. Buyskes,Luijtenant,Dutch,MAR,
J.F. Klomp,Kapitein,Dutch,MER,
Samuel Scott,Captain,British,RN,
George Farmer,Captain,British,RN,
Thomas Lloyd,Captain,British,RN,
William Lloyd (15th onward),Captain,British,RN,
de Rals,Cdt,French,,
Henry Stanhope,Captain,British,RN,
J.P. Huijs,Kapitein ter Zee,Dutch,MAR,
John Robinson,Captain,British,RN,
A. Glover,Captain,British,EIC,
Robert Montague,Captain,British,RN,
Juan Manuel  de las Cagigas,Capitan,Spanish,,
George Gayton,Captain,British,RN,
Hugh Bonfoy,Captain,British,RN,
Godfried Wargijn,Kapitein,Dutch,VOC,
Mathew Smith,Captain,British,RN,
Gerardus Oosthuis,Kapitein,Dutch,ADM,
J.W. v/d Velden,Onderkoopman,Dutch,VOC,
Juan Antonio Gonzlez,Capitan,Spanish,,
James Bissett,Captain,British,RN,
A.J. Tam,KLtZ,Dutch,MAR,
Philip Beaver,Captain,British,RN,
Maurice Suckling,Captain,British,RN,
Cuvel,Kapitein,Dutch,ADM,
JUAN DE LANGARA,CAPITAN,Spanish,,
Henry Bellow,Captain,British,RN,
Richard H. A. Bailey,Captain,British,RN,
Weird,Schipper,Dutch,MCC,
William Carnegie,Captain,British,RN,
Antonio de la Cuadra,Capitan,Spanish,,
SALVADOR MEL_NDEZ,TENIENTE,Spanish,,
J.W. Pichot,Journaalhouder,Dutch,MER,
de Puget - Bras,Cdt.,French,,
John Corner,Captain,British,RN,
JUAN DE CASENS,,Spanish,,
George Lumsdaine,Captain,British,RN,
George Heming,Captain,British,EIC,
J. Vos van Marken,Kapitein,Dutch,,
Richard Braithewaite,Captain,British,RN,
Buijs,Kapitein,Dutch,ADM,
Francisco Antonio Abello,Capitan,Spanish,,
Albert Wigman,Kapitein,Dutch,MCC,
James Chads,Captain,British,RN,
C. van Vlaanderen,Schipper,Dutch,VOC,
L.J. Rotgans,Kapitein,Dutch,,
Froger de Leguille,Cdt.,French,,assets/img/Michel_Joseph_Froger_de_l_Eguille.jpg
BORJA,CAPITAN,Spanish,,
David Davis,Stuurman,British,EIC,
Richard Howe,Captain,British,RN,
F.C. Jaskie,,Dutch,,
F.P.J. Jaski,,Dutch,,
R. Routh,Captain,British,RN,
