seaIce,airTemp,gusts,thunder,snow,longitude,date,windSpeed,fog,locationID,rain,sst,latitude,pressure,voyageID,windDirection,hail
False,-1,False,False,False,-55.0033,1788-06-09 16:00,-1,False,247104,True,-1,45.0,-1,5172,267,False
False,-1,False,False,False,-55.9867,1788-06-10 16:00,-1,False,247105,False,-1,46.0667,-1,5172,225,False
False,-1,False,False,False,-56.4867,1788-06-11 16:00,-1,False,247106,False,-1,46.5,-1,5172,270,False
False,-1,False,False,False,-55.7867,1788-06-12 16:00,-1,False,247107,False,-1,46.7333,-1,5172,360,False
False,-1,False,False,False,-55.67,1788-07-12 16:00,-1,False,247108,False,-1,46.3,-1,5172,248,False
False,-1,False,False,False,-55.12,1788-07-13 16:00,-1,False,247109,False,-1,45.5833,-1,5172,248,False
False,-1,False,False,False,-55.3533,1788-07-14 16:00,-1,False,247110,False,-1,45.0333,-1,5172,248,False
False,-1,False,False,False,-56.1367,1788-07-15 16:00,-1,False,247111,False,-1,45.5,-1,5172,113,False
False,-1,False,False,False,-56.9867,1788-07-16 16:00,-1,False,247112,False,-1,45.9167,-1,5172,315,False
False,-1,False,False,False,-59.3367,1788-07-17 16:00,-1,False,247113,False,-1,47.4167,-1,5172,225,False
False,-1,False,False,False,-52.7367,1788-08-28 16:00,-1,False,247114,False,-1,50.8333,-1,5172,203,False
False,-1,False,False,False,-51.4533,1788-08-29 15:00,9.30000019,False,247115,False,-1,49.35,-1,5172,23,False
False,-1,False,False,False,-56.7867,1788-08-30 16:00,-1,False,247116,False,-1,47.1667,-1,5172,93,False
False,-1,False,False,False,-51.9867,1788-08-31 15:00,-1,False,247117,False,-1,45.85,-1,5172,68,False
False,-1,False,False,False,-54.3867,1788-09-01 16:00,-1,False,247118,False,-1,46.2833,-1,5172,23,False
False,-1,False,False,False,-56.4867,1788-09-02 16:00,9.30000019,False,247119,False,-1,45.9833,-1,5172,135,False
False,-1,False,False,False,-56.5533,1788-09-03 16:00,9.30000019,False,247120,False,-1,46.9667,-1,5172,225,False
False,-1,False,False,False,-56.1533,1788-09-04 16:00,9.30000019,False,247121,False,-1,46.5833,-1,5172,293,False
False,-1,False,False,False,-56.1033,1788-09-22 16:00,-1,False,247122,False,-1,45.6167,-1,5173,248,False
False,-1,False,False,False,-54.12,1788-09-23 16:00,-1,False,247123,False,-1,44.8333,-1,5173,315,False
False,-1,False,False,False,-51.2367,1788-09-24 15:00,-1,False,247124,False,-1,44.75,-1,5173,315,False
False,-1,False,False,False,-46.8867,1788-09-25 15:00,-1,False,247125,False,-1,45.3833,-1,5173,248,False
False,-1,False,False,False,-42.42,1788-09-26 15:00,0,False,247126,False,-1,46.75,-1,5173,248,False
False,-1,False,False,False,-37.92,1788-09-27 15:00,-1,False,247127,False,-1,47.7167,-1,5173,248,False
False,-1,False,False,False,-32.07,1788-09-28 14:00,-1,False,247128,True,-1,47.7167,-1,5173,248,False
False,-1,False,False,False,-29.42,1788-09-29 14:00,-1,False,247129,False,-1,47.75,-1,5173,293,False
False,-1,False,False,False,-20.52,1788-10-01 13:00,-1,False,247130,False,-1,47.6667,-1,5173,248,False
False,-1,False,False,False,-16.52,1788-10-02 13:00,-1,False,247131,False,-1,47.7833,-1,5173,270,False
False,-1,False,False,False,-12.92,1788-10-03 13:00,-1,False,247132,False,-1,48.3,-1,5173,248,False
False,-1,False,False,False,-9.12,1788-10-04 13:00,-1,False,247133,False,-1,48.4667,-1,5173,180,False
False,-1,False,False,False,-8.52,1788-10-05 13:00,-1,False,247134,False,-1,48.4333,-1,5173,203,False
False,-1,False,False,False,-2.33667,1788-06-01 12:00,4.5999999,False,247135,False,-1,46.6333,-1,5174,90,False
False,-1,False,False,False,-7.00333,1788-06-04 12:00,-1,False,247136,False,-1,46.3,-1,5174,23,False
False,-1,False,False,False,-28.5867,1790-04-30 14:00,15.3999996,False,247137,False,-1,42.9167,-1,5175,315,False
False,-1,False,False,False,-25.0033,1790-05-01 14:00,9.30000019,False,247138,False,-1,44.4833,-1,5175,338,False
False,-1,False,False,False,-22.1533,1790-05-02 13:00,-1,False,247139,False,-1,46.2,-1,5175,315,False
False,-1,False,False,False,-19.02,1790-05-03 13:00,-1,False,247140,False,-1,46.95,-1,5175,293,False
False,-1,False,False,False,-14.7867,1790-05-04 13:00,-1,False,247141,False,-1,46.95,-1,5175,270,False
False,-1,False,False,False,-9.83667,1790-05-05 13:00,-1,False,247142,False,-1,46.7667,-1,5175,360,False
False,-1,False,False,False,-4.22,1790-09-14 12:00,1,False,247143,False,-1,45.75,-1,5176,158,False
False,-1,False,False,False,-6.50333,1790-09-15 12:00,6.69999981,False,247144,False,-1,45.25,-1,5176,45,False
False,-1,False,False,False,-10.4533,1790-09-16 13:00,6.69999981,False,247145,False,-1,44.5,-1,5176,68,False
False,-1,False,False,False,-12.97,1790-09-17 13:00,4.5999999,False,247146,False,-1,42.85,-1,5176,90,False
False,-1,False,False,False,-13.1367,1790-09-18 13:00,1,False,247147,False,-1,41.3,-1,5176,270,False
False,-1,False,False,False,-13.97,1790-09-19 13:00,6.69999981,False,247148,False,-1,39.3333,-1,5176,338,False
False,-1,False,False,False,-15.0867,1790-09-20 13:00,1,False,247149,False,-1,39.1833,-1,5176,228,False
False,-1,False,False,False,-15.97,1790-09-21 13:00,15.3999996,False,247150,False,-1,39.25,-1,5176,270,False
False,-1,False,False,False,-16.27,1790-09-22 13:00,0,False,247151,False,-1,38.4,-1,5176,248,False
False,-1,False,False,False,-18.2033,1790-09-23 13:00,-1,False,247152,False,-1,36.5333,-1,5176,45,False
False,-1,False,False,False,-20.22,1790-09-24 13:00,0,False,247153,False,-1,34.55,-1,5176,135,False
False,-1,False,False,False,-21.42,1790-09-25 13:00,4.5999999,False,247154,False,-1,33.6,-1,5176,135,False
False,-1,False,False,False,-23.22,1790-09-26 14:00,-1,False,247155,False,-1,33.1333,-1,5176,248,False
False,-1,False,False,False,-23.7367,1790-09-27 14:00,-1,False,247156,False,-1,32.1333,-1,5176,225,False
False,-1,False,False,False,-24.7867,1790-09-28 14:00,-1,False,247157,False,-1,30.8167,-1,5176,45,False
False,-1,False,False,False,-25.8867,1790-09-29 14:00,1,False,247158,False,-1,29.5333,-1,5176,45,False
False,-1,False,False,False,-27.3033,1790-09-30 14:00,-1,False,247159,False,-1,27.5,-1,5176,23,False
False,-1,False,False,False,-29.4367,1790-10-01 14:00,-1,False,247160,False,-1,25.8,-1,5176,90,False
False,-1,False,False,False,-32.02,1790-10-02 14:00,-1,False,247161,False,-1,23.6,-1,5176,90,False
False,-1,False,False,False,-34.6533,1790-10-03 14:00,-1,False,247162,False,-1,21.6833,-1,5176,90,False
False,-1,False,False,False,-37.2867,1790-10-04 14:00,4.5999999,False,247163,False,-1,20.1,-1,5176,90,False
False,-1,False,False,False,-40.32,1790-10-05 15:00,-1,False,247164,False,-1,18.7667,-1,5176,113,False
False,-1,False,False,False,-8.12,1788-06-05 13:00,-1,False,247165,False,-1,43.7667,-1,5176,135,False
False,-1,False,False,False,-9.05333,1788-06-06 13:00,4.5999999,False,247166,False,-1,43.4833,-1,5176,68,False
False,-1,False,False,False,-9.77,1788-06-07 13:00,6.69999981,False,247167,False,-1,41.8,-1,5176,90,False
False,-1,False,False,False,-9.5,1788-06-08 13:00,13.1000004,False,247168,False,-1,38.95,-1,5176,23,False
False,-1,False,False,False,-7.97,1788-06-09 13:00,10,False,247169,False,-1,36.7,-1,5176,360,False
False,-1,False,False,False,-7.02,1788-06-10 12:00,-1,False,247170,False,-1,36.2833,-1,5176,315,False
False,-1,False,False,False,-2.67,1788-06-11 12:00,4.5999999,False,247171,False,-1,36.5,-1,5176,225,False
False,-1,False,False,False,-1.17,1788-06-12 12:00,9.30000019,False,247172,False,-1,37.2333,-1,5176,270,False
False,-1,False,False,False,1.18,1788-06-13 12:00,1,False,247173,False,-1,37.5333,-1,5176,225,False
False,-1,False,False,False,-0.42,1788-06-14 12:00,4.5999999,False,247174,False,-1,37.55,-1,5176,68,False
False,-1,False,False,False,-0.0366666,1788-06-15 12:00,-1,False,247175,False,-1,37.8,-1,5176,248,False
False,-1,False,False,False,0.263333,1788-06-16 12:00,-1,False,247176,False,-1,37.7833,-1,5176,225,False
False,-1,False,False,False,-0.22,1788-06-17 12:00,15.3999996,False,247177,False,-1,37.25,-1,5176,68,False
False,-1,False,False,False,0.0133334,1788-06-18 12:00,16.2999992,False,247178,False,-1,37.4833,-1,5176,270,False
False,-1,False,False,False,-0.17,1788-06-19 12:00,15.3999996,False,247179,False,-1,37.5167,-1,5176,248,False
False,-1,False,False,False,0.33,1788-06-20 12:00,-1,False,247180,False,-1,37.9833,-1,5176,248,False
False,-1,False,False,False,0.196667,1788-06-21 12:00,1,False,247181,False,-1,37.8667,-1,5176,248,False
False,-1,False,False,False,-0.12,1788-06-22 12:00,1.20000005,False,247182,False,-1,37.4833,-1,5176,68,False
False,-1,False,False,False,-0.0366666,1788-06-23 12:00,-1,False,247183,False,-1,37.3167,-1,5176,135,False
False,-1,False,False,False,-0.22,1788-06-24 12:00,-1,False,247184,False,-1,37.45,-1,5176,113,False
False,-1,False,False,False,0.446667,1788-06-25 12:00,10,False,247185,False,-1,36.6167,-1,5176,68,False
False,-1,False,False,False,0.963333,1788-06-26 12:00,10,False,247186,False,-1,37.3,-1,5176,90,False
False,-1,False,False,False,1.58,1788-06-27 12:00,0,False,247187,False,-1,36.9167,-1,5176,248,False
False,-1,False,False,False,0.846667,1788-06-28 12:00,1,False,247188,False,-1,36.9,-1,5176,135,False
False,-1,False,False,False,2.03,1788-06-29 12:00,1,False,247189,False,-1,37.0,-1,5176,23,False
False,-1,False,False,False,2.21333,1788-06-30 12:00,16.2999992,False,247190,False,-1,37.5,-1,5176,68,False
False,-1,False,False,False,2.11333,1788-07-01 12:00,-1,False,247191,False,-1,37.5667,-1,5176,90,False
False,-1,False,False,False,2.54667,1788-07-02 12:00,-1,False,247192,False,-1,37.5667,-1,5176,90,False
False,-1,False,False,False,3.94667,1788-07-03 12:00,-1,False,247193,False,-1,38.9833,-1,5176,90,False
False,-1,False,False,False,5.71333,1788-07-04 12:00,4.5999999,False,247194,False,-1,38.8667,-1,5176,158,False
False,-1,False,False,False,8.24667,1788-07-05 11:00,-1,False,247195,False,-1,37.8,-1,5176,293,False
False,-1,False,False,False,10.2967,1788-07-06 11:00,0,False,247196,False,-1,36.9667,-1,5176,315,False
False,-1,False,False,False,10.3633,1788-07-10 11:00,-1,False,247197,False,-1,37.25,-1,5176,90,False
False,-1,False,False,False,11.0133,1788-07-11 11:00,1,False,247198,False,-1,37.2833,-1,5176,90,False
False,-1,False,False,False,12.03,1788-07-12 11:00,-1,False,247199,False,-1,36.9667,-1,5176,68,False
False,-1,False,False,False,12.2633,1788-07-13 11:00,4.5999999,False,247200,False,-1,36.85,-1,5176,225,False
False,-1,False,False,False,13.4967,1788-07-14 11:00,1.20000005,False,247201,False,-1,36.3833,-1,5176,360,False
False,-1,False,False,False,13.98,1788-07-15 11:00,1,False,247202,False,-1,36.2667,-1,5176,315,False
False,-1,False,False,False,14.4133,1788-07-16 11:00,-1,False,247203,False,-1,36.05,-1,5176,338,False
False,-1,False,False,False,13.93,1788-07-29 11:00,-1,False,247204,False,-1,36.8,-1,5176,270,False
False,-1,False,False,False,12.8967,1788-07-30 11:00,1,False,247205,False,-1,36.5333,-1,5176,338,False
False,-1,False,False,False,12.1967,1788-07-31 11:00,-1,False,247206,False,-1,36.75,-1,5176,23,False
False,-1,False,False,False,11.98,1788-08-01 11:00,-1,False,247207,False,-1,37.25,-1,5176,338,False
False,-1,False,False,False,10.0133,1788-08-02 11:00,-1,False,247208,False,-1,38.1333,-1,5176,23,False
False,-1,False,False,False,9.01333,1788-08-03 11:00,-1,False,247209,False,-1,38.7833,-1,5176,135,False
False,-1,False,False,False,7.91333,1788-08-04 11:00,-1,False,247210,False,-1,39.0833,-1,5176,45,False
False,-1,False,False,False,7.41333,1788-08-06 12:00,-1,False,247211,False,-1,41.2167,-1,5176,293,False
False,-1,False,False,False,7.14667,1788-08-07 12:00,0,False,247212,False,-1,41.4167,-1,5176,45,False
False,-1,False,False,False,7.26333,1788-08-08 12:00,1,False,247213,False,-1,42.0167,-1,5176,23,False
False,-1,False,False,False,6.99667,1788-08-09 12:00,0,False,247214,False,-1,42.8833,-1,5176,158,False
False,-1,False,False,False,7.44667,1788-08-16 12:00,16.2999992,False,247215,False,-1,42.9333,-1,5176,135,False
